classifier,trash,class,Acc.,Prec.,Rec.,F1,AUC
SVM,0,Artifact,0.85,0.81,0.31,0.45,0.65
SVM,1,Background Ring,0.72,0.73,0.85,0.79,0.68
SVM,2,Diffuse Scattering,0.93,0.44,0.25,0.32,0.61
SVM,3,Ice Ring,0.14,0.08,0.98,0.14,0.52
SVM,4,Loop Scattering,0.7,0.79,0.4,0.53,0.66
SVM,5,Non-unif. Detector,0.45,0.39,0.96,0.55,0.56
SVM,6,Strong Background,0.9,0.89,0.9,0.9,0.9
NB,0,Artifact,0.78,0.46,0.62,0.53,0.72
NB,1,Background Ring,0.61,0.66,0.74,0.7,0.57
NB,2,Diffuse Scattering,0.45,0.1,0.84,0.17,0.63
NB,3,Ice Ring,0.8,0.17,0.46,0.25,0.64
NB,4,Loop Scattering,0.62,0.53,0.71,0.61,0.63
NB,5,Non-unif. Detector,0.68,0.55,0.63,0.59,0.67
NB,6,Strong Background,0.87,0.9,0.83,0.86,0.87
KNN,0,Artifact,0.87,0.8,0.48,0.6,0.72
KNN,1,Background Ring,0.72,0.79,0.74,0.76,0.71
KNN,2,Diffuse Scattering,0.93,0.6,0.07,0.12,0.53
KNN,3,Ice Ring,0.93,1.0,0.09,0.16,0.54
KNN,4,Loop Scattering,0.71,0.62,0.79,0.69,0.72
KNN,5,Non-unif. Detector,0.75,0.69,0.53,0.6,0.7
KNN,6,Strong Background,0.89,0.85,0.93,0.89,0.89
RF,0,Artifact,0.91,0.91,0.6,0.72,0.79
RF,1,Background Ring,0.86,0.87,0.91,0.89,0.84
RF,2,Diffuse Scattering,0.93,0.5,0.05,0.08,0.52
RF,3,Ice Ring,0.95,1.0,0.33,0.49,0.66
RF,4,Loop Scattering,0.83,0.82,0.76,0.79,0.82
RF,5,Non-unif. Detector,0.81,0.8,0.63,0.71,0.77
RF,6,Strong Background,0.93,0.92,0.94,0.93,0.93
CNN: Cartesian,0,Artifact,0.94,0.91,0.79,0.85,0.89
CNN: Cartesian,1,Background Ring,0.92,0.95,0.93,0.94,0.92
CNN: Cartesian,2,Diffuse Scattering,0.96,0.74,0.59,0.66,0.79
CNN: Cartesian,3,Ice Ring,0.99,0.92,0.98,0.95,0.99
CNN: Cartesian,4,Loop Scattering,0.94,0.9,0.97,0.93,0.95
CNN: Cartesian,5,Non-unif. Detector,0.87,0.83,0.78,0.8,0.85
CNN: Cartesian,6,Strong Background,0.94,0.91,0.97,0.94,0.94
CNN: Polar-min,0,Artifact,0.93,0.88,0.77,0.82,0.87
CNN: Polar-min,1,Background Ring,0.91,0.94,0.92,0.93,0.91
CNN: Polar-min,2,Diffuse Scattering,0.95,0.71,0.5,0.59,0.74
CNN: Polar-min,3,Ice Ring,0.99,0.93,0.93,0.93,0.96
CNN: Polar-min,4,Loop Scattering,0.95,0.92,0.96,0.94,0.95
CNN: Polar-min,5,Non-unif. Detector,0.89,0.84,0.84,0.84,0.88
CNN: Polar-min,6,Strong Background,0.91,0.9,0.93,0.91,0.92
CNN: Polar-max,0,Artifact,0.92,0.9,0.7,0.79,0.84
CNN: Polar-max,1,Background Ring,0.9,0.93,0.9,0.92,0.9
CNN: Polar-max,2,Diffuse Scattering,0.97,0.85,0.64,0.73,0.81
CNN: Polar-max,3,Ice Ring,0.98,0.87,0.89,0.88,0.94
CNN: Polar-max,4,Loop Scattering,0.96,0.94,0.96,0.95,0.96
CNN: Polar-max,5,Non-unif. Detector,0.89,0.84,0.84,0.84,0.88
CNN: Polar-max,6,Strong Background,0.93,0.92,0.94,0.93,0.93
